Cruisin' the Heartland: Your Expert Guide to 2025 Classic Car Shows Across the Midwest
Section I: The Allure of the Automobile – A Midwest Tradition
A. Introduction: The Enduring Passion for Classic Iron in America's Heartland
The American Midwest, a region synonymous with industrial prowess and agricultural abundance, also harbors a deep-seated and fervent passion for the automobile. This is not merely an appreciation for transportation, but a cultural phenomenon rooted in the area's pivotal role in automotive history. From the assembly lines of Detroit that birthed legends to the sprawling network of highways that beckoned exploration, the car is woven into the very fabric of Midwestern life. This enduring love affair is most vibrantly expressed through its thriving classic car scene. Throughout the year, enthusiasts, collectors, and families converge at countless shows, cruise-ins, and festivals, celebrating the artistry, engineering, and nostalgia embodied by these rolling sculptures. These events are more than just gatherings of vintage metal; they are communal celebrations of craftsmanship, personal stories, and a shared heritage that continues to captivate new generations. This guide serves as an invitation to explore the rich tapestry of classic car events unfurling across the Heartland in 2025, offering a comprehensive roadmap to a year of automotive adventure.
B. Defining the "Midwest" – Our Geographical Roadmap
To provide a clear and consistent framework for this guide, the "Midwest" is defined according to the U.S. Census Bureau. This official designation encompasses twelve states, forming a vast and diverse region for classic car enthusiasts to explore. The Midwestern states included in this report are: Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, and Wisconsin.
This standardized definition is particularly beneficial for both event organizers and attendees. Organizers aiming to attract a "Midwestern" audience can target their promotions effectively within these recognized boundaries. For enthusiasts, this clear geographical scope allows for confident planning, whether seeking local gatherings or embarking on multi-state automotive pilgrimages. The consistency across various data sources  reinforces this 12-state grouping, ensuring that the events listed herein fall within a widely accepted understanding of the region. Companies and clubs, such as "Midwest Classic Cars" which hosts events in Illinois , often operate with this regional identity in mind, fostering a sense of a larger, interconnected community of car lovers.
C. What Makes a "Classic"? – Understanding Event Eligibility
The term "classic car" can evoke a range of images, from gleaming chrome-laden cruisers of the 1950s to the raw power of 1970s muscle cars or even the stately elegance of pre-war automobiles. When it comes to car show eligibility, the definition of what constitutes a "classic," "antique," "vintage," "hot rod," or "muscle car" is not universally fixed. Instead, criteria often vary significantly from one event to another, frequently dictated by the show's specific theme or the organizing club's particular focus.
For instance, some events adopt a rolling age qualification, such as the "Cars and Caves" series in Minnesota, which defines "Classics" as vehicles 25 years or older. Others may have a more specific cut-off year, like "Kool Deadwood Nites" in South Dakota, which welcomes vehicles from '73 or older , or the "Northern Roundup Vintage Weekend" in Wisconsin, which specifies "Pre-1975 cars & motorcycles, Pre-1979 Trucks". More historically focused events, like the "Antique Car Gathering" at Sauder Village in Ohio, concentrate on vehicles "manufactured prior to 1942". Publications and marketplaces like Hemmings Motor News cater to a broad spectrum, encompassing "antique classic, vintage, muscle, street rod, and special interest" automobiles.
This fluidity in definition results in a remarkably diverse event landscape across the Midwest. Enthusiasts can find broad, inclusive shows welcoming a wide array of makes and models, alongside highly specialized gatherings catering to niche interests, such as Corvette-only expositions  or Mopar-specific events. This variety ensures that nearly every type of classic and collector vehicle has a venue for appreciation. Therefore, it is crucial for prospective participants to consult the specific eligibility requirements for each event, a detail highlighted in the "Vehicle Types/Restrictions" column of the comprehensive directory that follows. This understanding prepares attendees for the rich diversity of the Midwestern classic car scene and underscores the importance of matching one's vehicle to the appropriate showcase.
Section II: Your Ultimate 2025 Midwest Classic Car Show Directory
A. How to Use This Directory
This directory is designed to be a comprehensive resource for navigating the vibrant classic car show scene across the Midwest in 2025. The central feature is an extensive table, organized alphabetically by state and then chronologically by event date within each state. Each entry aims to provide the most critical information needed to plan attendance, whether as a spectator or a participant.
Columns in the table include:
 * Event Name: The official title of the car show or cruise night.
 * State: The Midwest state where the event is located.
 * Date(s): The specific date or range of dates for the event.
 * Time(s): Includes show hours, registration times, and award presentation times where available.
 * Full Venue Address: The street address, city, and ZIP code of the event location.
 * Organizer/Sponsor: The primary organizing club, business, or entity, along with major sponsors if noted.
 * Contact (Website/Phone/Email): Key contact information for further details or inquiries.
 * Vehicle Types/Restrictions: Specific types of vehicles welcomed or any age/make/model restrictions.
 * Spectator Fee: Cost of admission for the general public.
 * Participant Fee (incl. pre-reg/on-site): Cost for entering a vehicle, noting any discounts for pre-registration versus day-of-show registration.
 * Key Features/Activities: Highlights such as live music, food vendors, swap meets, awards, special displays, or unique activities.
 * Registration Info/Deadline: Important details regarding how to register a vehicle and any stated deadlines.
Please note that all details are based on information available at the time of research (Spring-Summer 2024, with some source pages updated into early 2025). Event details, especially times, fees, and specific activities for smaller or volunteer-run events, can sometimes change. It is always recommended to verify information with the event organizers directly or check their official websites or social media channels closer to the event date, particularly for items marked as "TBD" (To Be Determined) or where information was incomplete.
The Midwest classic car scene presents a fascinating spectrum of events. At one end are the highly localized, often weekly, cruise nights. These gatherings, frequently found in small-town squares or the parking lots of local businesses like VFWs or restaurants, tend to have a casual, community-focused atmosphere. Admission is typically free, and participation is informal, emphasizing social interaction and the simple joy of bringing out one's cherished vehicle.
Contrasting these are the large-scale, multi-day festivals and national shows, often organized by professional entities like the Goodguys Rod & Custom Association. These events, held at expansive fairgrounds or expo centers, can draw thousands of cars and tens of thousands of spectators. They feature structured activities such as AutoCross competitions, professionally judged shows with numerous award categories, extensive vendor midways, and swap meets. Somewhere in between are regional shows sponsored by local businesses or dedicated clubs, which might run for a day or a weekend and offer a blend of community feel with more structured elements. The comprehensive table below aims to capture this diversity, allowing enthusiasts to find events that perfectly match their interests and level of involvement.
A noteworthy characteristic of the Midwestern classic car scene is the strong connection many events have to community and charitable causes. A significant number of local shows and cruise nights are organized by or directly benefit community groups, veterans' organizations, churches, and various charities. For example, the "Cars and Caves" series in Minnesota dedicates each month's event to a different charity, such as the Alzheimer's Association or Special Olympics Minnesota. Similarly, events in Indiana include the "Mount Pleasant Methodist Church Missions and CASA Car Show Extravaganza" and the "UAW 933 Veteran's Car & Truck Show benefiting Indy Honor Flight". In Kansas, the "Cars in the Park" show supports JCPRD Adaptive Recreation and Special Olympics programs. This philanthropic spirit underscores that these gatherings are often about more than just automotive admiration; they serve as vital mechanisms for community fundraising, engagement, and support, adding a layer of social value to participation.
While this directory strives for completeness, the accessibility of detailed information varies considerably. Major event organizers typically maintain comprehensive websites with ample details. However, information for smaller, grassroots events can be more fragmented, sometimes relying on local flyers, community bulletin boards, social media posts with limited details, or word-of-mouth. This directory consolidates available information to ease the search burden, but for the most current details on smaller or less formally advertised events, consulting local community sources or contacting listed phone numbers or emails remains advisable.
B. The Comprehensive Classic Car Show Table
The following table provides detailed information on classic car shows scheduled in the Midwest for 2025. Events are listed alphabetically by state, and then chronologically within each state.
Please note: "TBD" indicates that the information was To Be Determined or not available at the time of research. Spectator and participant fees are subject to change and should be verified with organizers. Websites and contact information are provided where available; for some smaller events, contact may be limited to a phone number or email address listed with the event source.
| Event Name | State | Date(s) | Time(s) | Full Venue Address | Organizer/Sponsor | Contact (Website/Phone/Email) | Vehicle Types/Restrictions | Spectator Fee | Participant Fee (incl. pre-reg/on-site) | Key Features/Activities | Registration Info/Deadline |
| Struttin' Ur Stuff Car Show | IL | Sept 14, 2025 | 8:00 AM - 3:00 PM | 5220 Northwest Highway, Crystal Lake, IL | Not specified | mchenrylife.com/events/hobby-interests-events/crystal-lake/struttin-ur-stuff-car-show/  | Not specified | Not specified | Not specified | Not specified | Not specified  |
| International Route 66 Mother Road Festival | IL | Sept 26-28, 2025 | Fri: 6PM-10PM (cruise starts 5PM); Sat: 9AM-10PM; Sun: 9AM-12PM (event ends 3PM) | Downtown Springfield, #1 Old State Capitol Plaza, Springfield, IL 62701 | Locally managed by Greg & Sue Cooper, Shane McDermith; Organizer: Visit Springfield | route66fest.com; Facebook @Route66Fest; 217-789-2360  | Classic cars, vintage cars | FREE for spectators | Early Bird $45 (Mar 7-May 7); Pre-reg $50 (May 8-Sep 24, 6PM); On-site $60. Cruise entry $5 for Crime Stoppers. | Route 66 City Nights Cruise (Fri), Burnout Competition (Sat), Live Entertainment, Farmers Market, Pin-Up Contest, Judged by CASI judges | Register online at ilrt66.ticketspice.com/2025-route-66-mother-road-festivalcar-show  |
| Burr Ridge Car Show | IL | Oct 4, 2025 | 11:00 AM - 3:30 PM | Burr Ridge Village Center, Burr Ridge, IL | Not specified | https://www.burr-ridge.gov/community/carshow.php  | Not specified | Not specified | Not specified | Not specified | Not specified  |
| 24th Annual Circle City All Corvette Expo | IN | Aug 2, 2025 | Reg: 9AM-11AM; Awards: 2PM-3PM | Noblesville Moose Lodge, 950 Field Drive, Noblesville, IN 46060 | Circle City Corvette Club (CCCC) | circlecitycarshow@gmail.com; Joe Chew (317) 379-2466  | All Corvettes | Not specified | Pre-reg $20; Day of $25 | Dash plaques (1st 100), 3 trophies/class, Best In Show, Club Participation, Moose award. Food trucks, vendors. | Preregister or day of.  |
| British Car Union 37th Annual Show | IN | Aug 9, 2025 | Staging/Reg: 8AM-10:30AM; Show: 11AM-1PM; Awards: 2:30PM | Lion's Park, 115 South Elm Street, Zionsville, IN | British Car Union | Brian Henry 317-522-8260, brian.scott.henry@gmail.com; Allen Galloway 317-709-5135, galloway.allen@yahoo.com; www.ibcu.org  | British Marques (Triumph, MG, Jaguar, Mini, Austin Healy, Bentley, Lotus, Rolls Royce, DeLorean). Featured: Lotus. | Free for spectators | Early Bird $20 (+ $10 add. car) w/ T-shirt; Late (after June 21) $30 (+ $10 add. car) no T-shirt. Vendor: Early $15, Late $30. | Raffle prizes, Best of Show, Lions Club Award, Best/Excellence in Class. Food/drinks available. | Final pre-reg cutoff July 27. Day-of reg available.  |
| 20th Annual Stoops Buick/GMC Car Show | IN | Aug 9, 2025 | Reg: 9AM-11:30AM; Judging: 12PM-1:30PM; Awards: 3PM | Stoops Buick/GMC, 1251 Quaker Boulevard, Plainfield, IN 46158 | Central Indiana Chapter Buick Club of America | Bob (954) 319-1458, rjperry.744@gmail.com  | Buick, Marquette, Oldsmobile, Viking, Pontiac, Oakland, Cadillac, Lasalle (all years); GMC Trucks (1912-1970) | Not specified | Advance $20 (+ $15 add. car) until Aug 1; Day of $25 | 1st, 2nd, 3rd in class; Best of Show; Best Buick/Marquette, Olds/Viking, Pontiac/Oakland, Cadillac/Lasalle | Advance reg by Aug 1. Day-of reg available.  |
| 6th Annual Mount Pleasant Methodist Church Missions and CASA Car Show Extravaganza | IN | Aug 16, 2025 | 9:00 AM - 3:00 PM | Mount Pleasant Methodist Church, 3050 Davis Drive, Terre Haute, IN 47802 | Mount Pleasant Methodist Church Missions and CASA | Nick @ 812-466-1175 (M-F, 8AM-5PM)  | Various (Chevy, Ford, Mopar, Rat Rod, Motorcycle, Special Interest awards) | FREE for spectators | $15.00 Entry | Top 40, various memorial & choice awards, Best of Show sculpture. Silent Auction, Goodie Bags, Door Prizes, Food, Live Music (Josh Pruitt). | Day-of entry.  |
| 13th Annual UAW 933 Veteran's Car & Truck Show | IN | Aug 16, 2025 | Show starts 9AM; Awards 1PM | American Legion 64, 601 S. Holt Rd, Indianapolis, IN | UAW 933 Veteran's Committee | Jeremy Richard (317) 414-3679; Facebook event page  | Cars & Trucks | Not specified | $20 (cash only) | Benefits Indy Honor Flight. Longs donuts, food trucks, DJ. 36 awards (Top 30, Club Part., Best of Show, etc.). No rain date. | Day-of registration.  |
| Open Class Car Show and Fish Fry (Bargersville) | IN | Aug 16, 2025 | Reg: 8AM-11AM; Awards 1PM | Bargersville First Christian Church, 101 South East Street, Bargersville, IN 46106 | Bargersville First Christian Church | Larry Hughes 317-432-8456, parnhugh@aol.com  | Anything on wheels (Car, Truck, Bike) | Not specified | Pre-reg $10; Day of $15 | Top Ten, special trophies, Best of Show, Pastors Pick. Biscuit/Gravy Breakfast (8AM), Fish Fry (10AM-3PM). Dash Plaques (1st 100). Music, Door Prizes. | Preregister or day of.  |
| South Bend Classic Car Show | IN | Aug 23, 2025 | 1:00 PM - 8:00 PM | Century Center Convention Center, 120 South Dr. Martin Luther King Jr Blvd, South Bend, IN 46601 | Nunbutdemlacs X Spokes-N-Vogues | visitsouthbend.com ; allevents.in  | All types of rides | $20 General Admission | $40 Carshow Entry | Family-friendly, Special Guest Kurtis Blow, Hosted by The Godfather Gino J, Powered by Dayton Wire Wheels & Vogue Tyres | Not specified  |
| 6th Annual Cruise Indy Car Show and Cruise | IN | Aug 23, 2025 | 9:00 AM - 1:00 PM | Indiana Spine Group Parking Lot, 13225 N. Meridian, Carmel, IN 46032 | Cruise Indy | Sandra 651-278-0812; www.CruiseIndy.com  | Anything on wheels with a motor (Car, Truck, Motorcycle) | Not specified | $20 | Benefits Folds of Honor. Dash plaque & T-shirt (1st 300 reg.). Specialty Awards, Food Trucks, Scavenger Hunt, DJ, Giving Opps, Military Flyover, Folds of Honor Program. | Register online or day of.  |
| Whalens Heroes 3rd Annual Anything on Wheels | IN | Aug 24, 2025 | Check-in: 9AM-12PM; Awards: 1:30PM | New Palestine Lions Club, 5242 W US 52, New Palestine, IN 46163 | Whalens Heroes (501c3) | heather@whalensheroes.org (sponsorship/vendor)  | Anything on Wheels | Not specified | $20 | Raises funds for service dogs for military/first responders. Dash Plaques (1st 100). Top 20, Best in Show, Fan Favorite. 50/50, silent auction, DJ, Food Truck. Grass parking. | Check-in on day of show.  |
| Cincinnati Christian Church Car Show | IN | Aug 30, 2025 | Reg: 8AM-9:30AM; Show: 9AM-1PM; Awards: 12:30PM | Cincinnati Christian Church, 11432 East State Road 54, Bloomfield, IN 47424 | Cincinnati Christian Church | Zach 812-345-0468  | Car, Truck, Jeep, Rat Rod, Motorcycle | Free Public Entry | $10.00 | Benefits Wheeler Mission Bloomington (bring canned goods/new socks). Public Voting. 13+ banners (Best Rat Rod, decade awards, Best of Show, etc.). Ice Cream, Food, Music (Spirit 95fm), Raffle. | Registration on day of show.  |
| Classic Car Club of America: 2025 Grand Classic Michigan, Ohio & Indiana Regions | IN, MI, OH | July 19, 2025 | 8:00 AM - 9:00 PM | M1 Concourse, Pontiac, MI (Main event location, implies activities across regions) | Classic Car Club of America (Michigan, Ohio & Indiana Regions) | m1concourse.com/event/classic-car-club-of-america-2025-grand-classic-michigan-ohio-indiana-regions/  | CCCA Full Classics® | Ticket info on website | Awards Banquet. Chance to see large private collections not open to public. | Get tickets/more info via website link.  |  |
| Classic Car Show (Iowa Arboretum) | IA | June 8, 2025 | 11:00 AM - 2:00 PM (Participants arrive after 10 AM) | Iowa Arboretum & Gardens, 1875 Peach Avenue, Madrid, IA 50156 | Iowa Arboretum & Gardens (Contact: Kim Anderson) | iowaarboretum.org/event/classic-car-show/; info@iowaarboretum.org; 515-795-3216  | All classic cars welcomed | FREE | FREE (Participants complete info card on dash) | Food Trucks available. Over 80 cars in 2024. | Arrive after 10 AM to park.  |
| Goodguys 34th Speedway Motors Heartland Nationals | IA | July 4-6, 2025 | Fri: 8AM-5PM; Sat: 8AM-8PM; Sun: 8AM-3PM | Iowa State Fairgrounds, 3000 E Grand Ave., Des Moines, IA 50317 | Goodguys Rod & Custom Association; Presented by BASF; Sponsored by Speedway Motors | good-guys.com/hln; (800) 777-1258; info@good-guys.com  | 1999 & older hot rods, trucks, customs, muscle cars, classics (Over 5,000 vehicles)  | Online $22 (Ages 13+), Gate $24. Juniors (7-12) $10 Online, $11 Gate. 6 & Under Free. Non-Member Single Day $27.  | Member/Non-Member registration options on website. | CPP AutoCross (Optima "Duel in Des Moines"), swap meet, Cars 4 Sale Corral, vendor midway, live music, Builder's Choice awards, Saturday Night Fireworks, Meguiar's All-American Sunday (all years American made/powered)  | Register online via Goodguys website.  |
| Mayfest Car Show (Caney) | KS | May 24, 2025 | 9:00 AM - 3:00 PM | Main Street Auto & Tire, 188th E 4th Ave, Caney, KS | Not specified | 620-306-6008; caneymayfestcarshow@gmail.com  | Not specified | Not listed | Not listed | Part of Caney Mayfest | Flyer available via  link  |
| Peabody Sunday Cruise | KS | May 25, 2025 (and 4th Sundays May-Oct) | 5:00 PM - 8:00 PM (May) | Downtown Peabody, KS | Linsey Foth | 785-214-2938; peabodysundaycruise@gmail.com  | Motorcycles, vintage/classic cars, hot rods | Free | No registration needed | Come & go, food, music, family fun, vendors welcome | No registration needed. Flyer via  link  |
| Buzzard Bash 2025 | KS | May 31, 2025 | Car Show: 1PM-5PM (Reg: 11AM-1PM) | Main Street, WaKeeney, KS | Matt Dreher | 785-743-2150; dreherauto@yahoo.com  | Autos, trucks, tractors, motorcycles, race cars (all makes/models) | Free Spectator Entry | Free Participant Entry | All-day event, craft/food vendors, kids games, live music (The Dominos, Blaine Younger Band) | Reg: 11AM-1PM. Cars enter S. Main. Flyer via  link  |
| Rally For Ryan | KS | May 31, 2025 | Reg: 9AM-10AM; Awards: 1:30PM | Abilene, KS | Rod Riffel | 785-200-4133; rriffel77@gmail.com  | Not specified | Not listed | $20 Entry | Awards | Reg 9AM-10AM. Flyer via  link  |
| Horton Summer Fest Car Show | KS | May 31, 2025 | Reg: 8AM-12PM; Awards: 2PM | Horton, KS | Kinsey | 785-741-5091; Kinsey@rainbowtel.com  | Not specified | Not listed | Not listed | Bouncy houses, flea market, city-wide garage sales | Reg 8AM-12PM.  |
| Big Bend Bash | KS | June 7, 2025 | Car Show: 11AM-6PM | Great Bend, KS | Deklyn Craven | 620-868-5047; djmcraven2004@gmail.com  | Cars | Not listed | Not listed | 1st annual, vendors, music consumption district | Flyer & entry form via  links  |
| Classic Car Show (Bel Aire) | KS | June 7, 2025 | 10:00 AM - 2:00 PM | 6700 E. 45th St, Bel Aire, KS | Mickey Downs | 316-832-0679; wildwooddrumer@yahoo.com  | Classic cars | Not listed | Not listed | None specified | Flyer via  link  |
| Old School Car Show (Cottonwood Falls) | KS | June 7, 2025 | 10:00 AM - 3:00 PM (Reg: 9AM-11AM) | 518 3rd St, Cottonwood Falls, KS | Lee Anne Coester | 620-340-9634; oldschooldevelopmentdistrict@gmail.com  | Not specified | Not listed | $20 Registration | None specified | Reg 9AM-11AM. Flyer via  link  |
| Eureka Days Car Show | KS | June 7, 2025 | TBD | Eureka, KS | Steve Brown | 620-953-2865; wichitapc@gmail.com  | All years/classes cars, trucks, motorcycles | Not listed | Not listed | Vendors, food, Eureka Days parade participation | Flyer via  link  |
| Black Kettle Car Show | KS | June 7, 2025 | Awards: 2PM (Reg: 8AM-10AM day of) | Wheatridge Park, Moundridge, KS | Jeremy Smith | 620-747-0812; blackkettlecarshow@gmail.com  | Cars & Trucks | Not listed | Pre-reg includes T-shirt | 21st Annual. In conjunction with Black Kettle Festival (parade, food vendors, BBQ comp, kids games). Rain or shine. | Pre-reg by May 1 at carshowpro.com/event/2169. Day-of reg 8AM-10AM. Flyer via  link  |
| Wichita RiverFest Classic Car Show | KS | June 7, 2025 | 11:00 AM - 5:00 PM | Century II Center, Convention & Exhibition Halls, Wichita, KS | Sam Hale / Lindsay Fine | Sam: 316-789-5266, sam-hale@att.net; Lindsay: 316-267-2817; carshowpro.com/event/2126  | Classic cars | Festival button required for access | Entry packet includes one Festival button | Indoors. Part of Riverfest (food court, concerts). Security for overnight. | Move in Fri Jun 6 or early Sat. Flyer via  link  |
| 15th Annual Cars in the Park Car Show | KS | Oct 18, 2025 | 9:00 AM - 2:00 PM | Theatre in the Park, 7710 Renner Road, Shawnee, KS | Johnson County Park & Rec (JCPRD) | Lise.Dujakovich@jocogov.org; 913-831-3359; jcprd.com/2040/Cars-in-the-Park-2025  | Classic, modern, unique rides | FREE | $35 (Reg info coming soon) | Benefits JCPRD Special Olympics. Live DJ, food trucks, raffle prizes. Rain or shine. | Register online (button on site) or call.  |
| Dust 'em Off Car Show 2025 | MI | Spring 2025 (Date TBD) | TBD | GM Heritage Center, 6200 Grand Pointe Blvd., Grand Blanc Twp., MI 48439 | Back to the Bricks; Sponsor: Owosso Speedway, General Motors | backtothebricks.org  | Classic cars (implied) | TBD | TBD | 5th Annual. New location. | Details on Back to the Bricks website.  |
| M1 Cars & Coffee: Supercars & Exotics | MI | June 7, 2025 | 8:00 AM - 11:00 AM | M1 Concourse, Pontiac, MI | M1 Concourse | m1concourse.com/events/  | Supercars & Exotics | TBD (check website) | TBD (check website) | Themed Cars & Coffee event | Check M1 Concourse website for details.  |
| Back to the Bricks Promo Tour 2025 | MI | June 6-11, 2025 | Various evening car shows | Starts Flint, MI; travels to 4 hotel stops | Back to the Bricks | backtothebricks.org  | Classic cars (implied) | TBD | TBD | 15th Annual. 5 Evening Car Shows in 6 days. Promotes Main Event & host cities. | Details on Back to the Bricks website.  |
| Allen Park Classic Car Show 2025 | MI | June 18, 2025 | 4:00 PM - 9:00 PM | Allen Road (between Southfield Rd & Ecorse Rd), Allen Park, MI | City of Allen Park | cityofallenpark.org/departments/downtown/events/classic_car_show_25.php  | Classic Cars | Not specified | Not specified | Annual event | Not specified  |
| Strawberry Festival & Classic Wheels | MI | June 22, 2025 | Car Show: 9AM-3:30PM (Festival: 9AM-3PM) | Corunna, MI | Hosted by Eventz2U; in partnership with Back to the Bricks | Register via link on backtothebricks.org  | Classic Wheels | TBD | TBD | Family-friendly event. Live band SHIATOWN (1PM-3PM). | Register via link on BTTB website.  |
| Our Lady of Lebanon Classic Car Show | MI | July 20, 2025 | 1:00 PM - 4:00 PM | Our Lady of Lebanon Maronite Catholic Church, 4133 Calkins Road, Flint Township, MI 48532 | Our Lady of Lebanon Church; in partnership with Back to the Bricks | backtothebricks.org  | Classic cars | TBD | TBD | Part of weekend-long church festival. | Details on Back to the Bricks website.  |
| Bricks & Bowties Classic Car Show | MI | July 24, 2025 | Evening (Time TBD) | Vic Canever Chevrolet, (Fenton, MI - inferred from sponsor) | Presented by Vic Canever Chevrolet; in partnership with Back to the Bricks | backtothebricks.org  | Classic car culture | TBD | TBD | High-energy car show, giveaways, t-shirts, food trucks, vendors. | Details on Back to the Bricks website.  |
| M1 Cars and Coffee: Chrysler, Dodge, Jeep, Plymouth | MI | Aug 2, 2025 | 8:00 AM - 11:00 AM | M1 Concourse, Pontiac, MI | M1 Concourse | m1concourse.com/events/  | Chrysler, Dodge, Jeep, Plymouth | TBD (check website) | TBD (check website) | Themed Cars & Coffee event | Check M1 Concourse website for details.  |
| Back to the Bricks Main Event Week | MI | Aug 11-16, 2025 | Various times | Various locations in Birch Run, US23 Drive-In, Grand Blanc, Downtown Flint, MI | Back to the Bricks | backtothebricks.org  | Classic, custom, collector vehicles. Corvette National Reunion. | Spectator info TBD. | Vendor registration open. Participant info on website. | Mon: Kickoff @ Birch Run Speedway; Tue: Bricks Flicks @ US23 Drive In; Wed/Thu: Rolling Cruise @ Grand Blanc; Fri: Cruise N Concert @ Downtown Flint; Sat: Main Event @ Downtown Flint. Music, food. | Register via Back to the Bricks website.  |
| M1 Cars and Coffee: General Motors | MI | Sept 6, 2025 | 8:00 AM - 11:00 AM | M1 Concourse, Pontiac, MI | M1 Concourse | m1concourse.com/events/  | General Motors vehicles | TBD (check website) | TBD (check website) | Themed Cars & Coffee event | Check M1 Concourse website for details.  |
| M1 Cars and Coffee: European Marques | MI | Oct 11, 2025 | 8:00 AM - 11:00 AM | M1 Concourse, Pontiac, MI | M1 Concourse | m1concourse.com/events/  | European Marques | TBD (check website) | TBD (check website) | Themed Cars & Coffee event | Check M1 Concourse website for details.  |
| M1 Cars and Coffee: Ford, Lincoln, Mercury | MI | Nov 1, 2025 | 8:00 AM - 11:00 AM | M1 Concourse, Pontiac, MI | M1 Concourse | m1concourse.com/events/  | Ford, Lincoln, Mercury | TBD (check website) | TBD (check website) | Themed Cars & Coffee event | Check M1 Concourse website for details.  |
| Cars & Caves - Open Show | MN | Apr 26, 2025 | 9:00 AM - 1:00 PM | Chanhassen AutoPlex, Chanhassen, MN | Chanhassen AutoPlex | chanhassenautoplex.com/cars-and-caves/  | Collector, muscle, antique, street rod, exotic, vintage motorcycles. Open show theme. | Free (Donations for charity accepted) | Free | Featured Charity: Wishes & More. Coffee & food vendors. Many "man caves" open. | Arrive early, space is limited.  |
| Cars & Caves - Classics (25+ years old) | MN | May 31, 2025 | 9:00 AM - 1:00 PM | Chanhassen AutoPlex, Chanhassen, MN | Chanhassen AutoPlex | chanhassenautoplex.com/cars-and-caves/  | Classics 25 years or older. | Free (Donations for charity accepted) | Free | Featured Charity: Alzheimer's Association of MN ND. Coffee & food vendors. | Arrive early, space is limited.  |
| MSMA Hosted Fridley 49er Days Benefit Show | MN | June 13, 2025 | 5:00 PM - 8:00 PM | Friendly Chevrolet, Fridley, MN | MSMA Hosted | MSMA Facebook page; Flyer:(https://msma.net/wp-content/uploads/2021/12/202549erDays-page-001.jpg)  | Not specified (MSMA implies classic/street machines) | Not specified | Not specified | Benefit Show | Not specified  |
| Remnants Shakedown Car Show | MN | June 15, 2025 | 9:00 AM - 2:00 PM | Sammy's Pizza, Coon Rapids, MN | Not specified (listed by MSMA) | More info: https://www.facebook.com/events/564557313066871/ | Not specified | Not specified | Not specified | Not specified | Not specified  |
| Back to the 80s - 2025 | MN | June 7, 2025 | 10:00 AM onwards | Blacksmith Lounge & Broaster, 17205 Forest Blvd N, Hugo, MN | Back To The 80's - MN | backtothe80smn.com/event-details/back-to-the-80s-2025  | Vehicles made in the 1980s (cars, trucks, bikes; domestic & import) | FREE for spectators | Prereg: $15; At gate: $20 | Top 80s Music, Costume Contest, Sponsors | Register online.  |
| 41st Annual Mopars in the Park Car show | MN | May 30 - June 1, 2025 | Fri: 9AM start; Sun: ends 2PM | Dakota County Fairgrounds, 4008 220th St W, Farmington, MN | MidwestMopars | moparsinthepark.com  | Mopars (Chrysler, Dodge, Plymouth etc.). Features: 100 yrs of Chrysler, Family haulers, black out displays. | Ticket info on website | Ticket info on website | Guests Catherine Bach & Claudia Abel. Special displays. | Check website for registration.  |
| Smoke Signals-Open Makes, Model, Year - CAR SHOW | MN | June 14, 2025 | 10:00 AM - 2:00 PM (Awards 1PM) | Prior Lake High School (lower lot), 7575 150th St W, Savage, MN | Smoke Signals Community Events; Partnership: Mopar Ponderosa, Smoke Signals Nonprofit | Lori (Vendors/Logistics): 952-221-2077; Kevin/Steven (Vehicle Show): see  | All makes, models, years (Trucks, Motorcycles, Cars, Boats, Tractors) | Free | $10 Vehicle Show Entry | Music (No Stone Unturned), Silent Auction, Food Trucks, Kid Korner, Mopar Ponderosa Exhibit. Fundraiser for Smoke Signals Nonprofit. | Gate opens 9AM for vehicle entry.  |
| Discover Victoria Classic Car Nights | MN | Wednesdays: June 11, June 25, July 9, July 23, Aug 13, Aug 27, 2025 | 5:00 PM - 8:00 PM | Downtown Victoria, MN | Victoria Business Association | Facebook: @discovervictoriaclassiccarnight  | Classic cars | Free | Free | Live music/Concerts in the Park (6-8PM Charlson Thun Bandstand), food/drink from local restaurants. Volunteer run. | Arrive to park. VIP space via VBA.  |
| Cars & Caves - Italian | MN | June 28, 2025 | 9:00 AM - 1:00 PM | Chanhassen AutoPlex, Chanhassen, MN | Chanhassen AutoPlex | chanhassenautoplex.com/cars-and-caves/  | Italian makes (Ferrari, Maserati, Fiat, Lambo etc.) featured; other qualifying show cars welcome. | Free (Donations for charity accepted) | Free | Featured Charity: Ronald McDonald House. Coffee & food vendors. | Arrive early, space is limited.  |
| Cars & Caves - American | MN | July 26, 2025 | 9:00 AM - 1:00 PM | Chanhassen AutoPlex, Chanhassen, MN | Chanhassen AutoPlex | chanhassenautoplex.com/cars-and-caves/  | American makes (Ford, Mopar, GM, Pontiac etc.) featured; other qualifying show cars welcome. | Free (Donations for charity accepted) | Free | Featured Charity: Special Olympics Minnesota. Coffee & food vendors. | Arrive early, space is limited.  |
| Rockin' Rush City Car Show & Music Festival | MN | Aug 16, 2025 | 12:00 PM - 4:00 PM | Rush City Park and main street, Rush City, MN | Not specified (Platinum sponsors listed on site) | rushcitycarshow.com  | Cars and trucks (includes foreign) | Fun & Free | Registration info on website | Music, food trucks, face painting, yard games, awards (e.g. Best Foreign) | Register via website.  |
